Name,Category,Well_Known_Movie,Bio
Freida Pinto,Actress,Slumdog Millionaire,"Freida Selena Pinto was born in Bombay (now Mumbai), Maharashtra, India, to Sylvia, a school principal, and Frederick Pinto, a senior bank branch manager"
Julie Christie,Actress,Doctor Zhivago,"Julie Christie, the British movie legend whom Al Pacino called ""the most poetic of all actresses,"" was born in Chabua, Assam, India, on April 14, 1940, the daughter of Rosemary (Ramsden), a painter, and Francis St"
Priyanka Chopra,Actress,Baywatch,"Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt"
M. Night Shyamalan,Producer,Lady in the Water,"Born in Puducherry, India, and raised in the posh suburban Penn Valley area of Philadelphia, Pennsylvania, M"
Karen David,Actress,Galavant,"From India to Canada, England to America, Karen David has crisscrossed the world making true fans everywhere along the way"
Erick Avari,Actor,Mr. Deeds,"Erick Avari was born on April 13, 1952 in Darjeeling, India"
Shah Rukh Khan,Actor,Don 2,"Shahrukh Khan was born on 2 November 1965 in New Delhi, India"
Mark Heap,Actor,Stardust,"Mark Heap was born on May 13, 1957 in Kodaikanal, Tamil Nadu, India"
Aamir Khan,Actor,Taare Zameen Par,Aamir is no doubt one of the most dedicated actors in this world
Aishwarya Rai Bachchan,Actress,Jodhaa Akbar,"Born into a traditional south Indian family, Aishwarya started modeling at a young age"
Vivien Leigh,Actress,A Streetcar Named Desire,"If a film were made of the life of Vivien Leigh, it would open in India just before World War I, where a successful British businessman could live like a prince"
Ranjit Chowdhry,Actor,Prison Break,Ranjit Chowdhry was born in 1956 in India
Joanna Lumley,Actress,The Wolf of Wall Street,"Joanna Lumley was born on 1 May, 1946 in Kashmir, India, to British parents, Thya Beatrice Rose (Weir) and James Rutherford Lumley"
Hugh Keays-Byrne,Actor,Mad Max: Fury Road,"Hugh Keays-Byrne was born in 1947 in Kashmir, India"
Hrithik Roshan,Actor,Super 30,"Hrithik Roshan is an Indian actor, born on 10th January 1974, well known globally for his versatile roles, unmatchable dancing skills and attractive looks"
Salman Khan,Actor,Sultan,"Born on December 27, 1965 Salman Khan is the son of the legendary writer Salim Khan, who penned many super-hits in the yesteryear's like Sholay (1975), Deewaar (1975), and Don (1978)"
Akshay Kumar,Actor,Hera Pheri,"Akshay Kumar, born September 9, 1967, is an actor"
Amitabh Bachchan,Actor,Black,Son of well known poet Harivansh Rai Bachchan and Teji Bachchan
Irrfan Khan,Actor,Dabba,"Born Sahabzade Irfan Ali Khan, in Jaipur, Rajasthan (NW India) January 7, 1967 to a Pashto speaking Muslim family"
Rani Mukerji,Actress,Black,Mukerji comes from a film-oriented family of Bengali origin
Kareena Kapoor,Actress,Jab We Met,"Kareena was born to Sindhi-speaking Babita (nee Shivdasani) and Punjabi-speaking Randhir Kapoor in Bombay, India"
Ali Fazal,Actor,Victoria & Abdul,"Ali Fazal was born on October 15, 1986 in New Delhi, India"
Persis Khambatta,Actress,Star Trek: The Motion Picture,"Persis Khambatta was born on October 2, 1948 in Bombay, India"
Padma Lakshmi,Actress,Enterprise,"Padma Lakshmi was born on September 1, 1970 in Madras, Tamil Nadu, India"
Dalip Singh,Actor,Get Smart,"Dalip Singh was born on August 27, 1972 in Dhirana, Himachal Pradesh, India as Dalip Singh Rana"
Amrish Puri,Actor,Indiana Jones and the Temple of Doom,"Believe it or not, Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954"
Disha Patani,Actress,M.S. Dhoni: The Untold Story,Disha Patani was born in India in 1992
Kajol,Actress,Kuch Kuch Hota Hai,"Kajol was born on August 5, 1974 in Bombay, Maharashtra, India as Kajol Mukherjee"
Saif Ali Khan,Actor,Kal ho naa ho,"Saif is the son of Bollywood actress, Sharmila Tagore, and Indian cricketer, Mansoor Ali Khan"
Aasif Mandvi,Actor,Million Dollar Arm,"Aasif Mandvi was born on March 5, 1966 in Bombay, Maharashtra, India as Aasif Mandviwala"
Nazneen Contractor,Actress,"Roman J. Israel, Esq.","Born in Mumbai, India and raised in Nigeria until the age of seven, Contractor was well-versed in world travels and a variety of cultures at a very young age"
Suraj Sharma,Actor,Life of Pi,"Suraj was born and raised in New Dehli, India"
Anushka Sharma,Actress,Jab Tak Hai Jaan,"Anushka Sharma was born on 1 May 1988 in Ayodhya, Uttar Pradesh"
Rakul Preet Singh,Actress,Nannaku Prematho,Rakul Preet Singh is an Indian actress and model who works mainly in the south Indian film industry
Allu Arjun,Actor,Sarrainodu,"Allu Arjun nicknamed Bunny was born on April 8, 1983"
Joseph Vijay,Actor,Thuppakki,Vijay was born to a famous Tamil film producer and director S
Kiara Advani,Actress,Kabir Singh,"Kiara Advani was born on July 31, 1992 in Bombay, Maharashtra, India"
